PMC_ID	PMC_Year	Journal	IF	Article Title	Type of paper	Secondary analysis	Data availability statement (yes/no)	Data availability with explaination(yes/no)	Data availability (yes/no)	"If Data availability = yes, where do they share data? (SRA/GEO/other)"	"If other database, specifiy which one"	Code availability statement (Yes/No)	Code availability (Yes/No (reason))	Code availability (Yes/No)	Reproducibility	"If Code availability = yes,  What kind of code do they share?"	"If Code availability = yes, where do they share code (supplementary/ GitHub/ other)"	"If Code availability = yes, do they share the code as notebook or R markdown file (.Rmd)? (yes/no)"	"If yes, notebook/Rmd"	"If yes, single/ multiple"	Summary data (yes/ no/ partial)	Number of citations	Gender of the PI	"Experience of PI/ Last author (Check their profile or webpage to see whether they are an associate/ assistant/ professor/ professor emiretus, etc)"	PI/ last author's training background - CS/ Bioinformatics/ Other	PI (last author's) education level - PhD/PostDoc/ Master's etc	First author's education level	First author's training background (CS/ Bioinformatics/ Other)
PMC6686906	2019	Nat_Genet	28	Accurate estimation of SNP-heritability from biobank-scale data irrespective of genetic architecture	Research article	hybrid	yes	yes for secondary/ no for primary	no			yes	yes	yes		Package	GitHub	no			yes	47	Male	Associate Professor	"CS, Bioinformatics"	Postdoc	MS	Bioinformatics
PMC7610512	2020	Nat_Genet	38.3	Regulation of single-cell genome organization into TADs and chromatin nanodomains	Research article	Hybrid	yes	yes for secondary/Available upon request for primary	no			yes	yes	yes		Matlab scripts	GitHub	no			yes	39	Male	Research Director 	Other	Postdoc	Postdoc	"Other, Genetics"
PMC7343611	2020	Nat_Genet	38.3	Lymph node metastases develop through a wider evolutionary bottleneck than distant metastases	Research article	Hybrid	yes	yes	yes	Other	datadryad	yes	yes	yes		Analytical	GitHub	yes	notebook	multiple	yes	31	Female	Assistant Professor	Other	Phd	Postdoc	CS
PMC6767648	2019	Genome_Med	11	Identifying Crohn’s disease signal from variome analysis	Research article	hybrid	yes	yes for secondary/ Available upon request for primary	no			no	yes	yes		software	Other (Website)	no			yes	58	Female	Associate Professor	Bioinformatics	Phd	Phd	Bioinformatics
PMC6862797	2019	Genome_Biol	9.5	Population-level analysis reveals the widespread occurrence and phenotypic consequence of DNA methylation variation not tagged by genetic variation in maize	Research article	no	yes	yes	yes	SRA		no	no	no		no	no	no			no	74	Male 	Professor	Other	Phd	Masters	Other
PMC6554452	2019	Nat_Biotechnol	37	Highly efficient expression of circular RNA aptamers in cells using autocatalytic transcripts	Research article	no	yes	no	no			no	no	no							no	59	Male	Professor	Other	"MD,Phd"	Phd	Other
PMC6894935	2019	Nat_Biotechnol	37	A highly soluble Sleeping Beauty transposase improves control of gene insertion	Research article	no	yes	Available upon request	upon request			no	no	no							no	75	Female	Professor	Other	Phd	Phd	Other
PMC7145761	2019	Nat_Biotechnol	37	An electroencephalographic signature predicts antidepressant response in major depression	Research article	no	yes	yes	yes	other	NIMH	yes	no (Cannot find the code)	no							no	70	Male	Professor	Other	"MD,Phd"	Postdoc	Other
PMC6858544	2019	Nat_Biotechnol	37	Targeted isolation and cultivation of uncultivated bacteria by reverse genomics	Research article	no	yes	yes	yes	SRA		no	no	no							no	94	Male	Group Leader	"Other,Genetics"	Phd	Phd	Other
PMC6730565	2019	Nat_Biotechnol	37	CRISPR DNA base editors with reduced RNA off-target and self-editing activities	Research article	no	yes	yes	yes	"SRA,GSE"		yes	no (available upon request)	no							no	24	Male	Professor	"Other,Genetics"	"MD,Phd"	MD	Other
PMC7065968	2019	Nat_Biotechnol	37	Titrating gene expression using libraries of systematically attenuated CRISPR guide RNAs	Research article	no	yes	yes	yes	GSE		yes	no (available upon request)	no							no	53	Male	Professor	Other	Phd	Phd	Other
PMC6974401	2019	Nat_Genet	28	Identifying cross-disease components of genetic risk across hospital data in the UK Biobank	Research article	no	yes	yes	yes	other	treewas.org	no	no	no							no	45	Male	Professor	Other	BA	Postdoc	Bioinformatics
PMC6443099	2019	Nat_Genet	28	Transposable elements drive widespread expression of oncogenes in human cancers	Research article	no	yes	yes	yes	GSE		yes	no	no							yes	58	Male	Professor	Computational Biology	Phd		
PMC6441365	2019	Nat_Genet	28	Retinal transcriptome and eQTL analyses identify genes associated with age-related macular degeneration	Research article	no	yes	yes	yes	GSE		no	no	no							no	52	Male	Professor	Other	Phd	Postdoc	"Other, Genetics"
PMC6546603	2019	Nat_Methods	31	Bioluminescent-based imaging and quantification of glucose uptake in vivo	Research article	no	yes	Available upon request	upon request			no	no	no							no	46	Female	Associate Professor	Other	Postdoc	Postdoc	Other
PMC6549241	2019	Nat_Methods	31	"Aromatic 19F-13C TROSY: A background-free approach to probe biomolecular structure, function and dynamics"	Research article	no	yes	yes	yes	other	https://artlab.dana-farber.org/19f_13c_aromatictrosy.html	no	no	no							no	53	Male	Associate Professor	Other	Phd	Postdoc	Other
PMC6532422	2019	Nat_Methods	31	A photo-cleavable surfactant for top-down proteomics	Research article	no	yes	yes	yes	other	PRIDE	no	no	no							no	33	Female	Professor	Other	Phd	Postdoc	Other
PMC6599567	2019	Nat_Methods	31	LADL: Light-activated dynamic looping for endogenous gene expression control	Research article	no	no	no	no			yes	no (available upon request)	no							no	28	Female	Assistant Professor 	Other	Phd	Postdoc	"Other, Genomics"
PMC6885017	2019	Nat_Methods	31	Real-time volumetric microscopy of in-vivo dynamics and large-scale samples with SCAPE 2.0	Research article	no	yes	Available upon request	upon request			yes	no (available upon request)	no							no	51	Female	Professor	Other	Postdoc	Phd	Other
PMC6519746	2019	Nat_Methods	31	One-step generation of modular CAR-T with AAV-Cpf1	Research article	no	yes	yes	yes	SRA		yes	no (available upon request)	no							no	37	Male	Associate Professor	"Other, Genetics"	Postdoc	Postdoc	Other
PMC6451109	2019	Nucleic_Acids_Res	11.5	SMCHD1 is involved in de novo methylation of the DUX4-encoding D4Z4 macrosatellite	Research article	no	no	no	no			no	no	no		no	no	no			no	58	Female	Team Leader	"Other, Genetics"	Phd	Postdoc	"Other, Genetics"
PMC6943129	2019	Nucleic_Acids_Res	11.5	A single amino acid switch converts the Sleeping Beauty transposase into an efficient unidirectional excisionase with utility in stem cell reprogramming	Research article	no	no	no	no			no	no	no		no	no	no			no	99	Male	Professor	Other	Phd		
PMC6468246	2019	Nucleic_Acids_Res	11.5	TRF2 positively regulates SULF2 expression increasing VEGF-A release and activity in tumor microenvironment	Research article	no	no	no	no			no	no	no		no	no	no			no	56						
